case,cores,candidate,operation,makespan,added_copy_bytes,cache_hit_rate,accepted
case_009,3,l2_scatter_1,l2_scatter,61481,499906,0.28135815563246624,False
case_009,3,fifo_reuse_reorder,reuse_window_reorder,60603,524498,0.30133324891232577,False
case_009,3,adaptive_partition_l2,adaptive_partition,58209,537786,0.30748528921949597,False
case_009,4,baseline_a_problem2_plan,problem2_plan,42828,686002,0.30537907498164646,True
case_009,4,direct_affinity,direct_affinity,45655,682322,0.3632355465428664,False
case_009,4,private_cache_affinity,private_cache_affinity,45211,624938,0.3179480433509577,False
case_009,4,l2_scatter_0,l2_scatter,51885,686002,0.3046469175975714,False
case_009,4,l2_scatter_1,l2_scatter,52980,694194,0.34728569572867585,False
case_009,4,fifo_reuse_reorder,reuse_window_reorder,51885,686002,0.3046469175975714,False
case_009,4,adaptive_partition_l2,adaptive_partition,46196,674370,0.29816662282210576,False
case_009,5,baseline_a_problem2_plan,problem2_plan,36062,740232,0.41909715629357286,True
case_009,5,direct_affinity,direct_affinity,38164,755054,0.40745692610113515,False
case_009,5,private_cache_affinity,private_cache_affinity,38199,735110,0.4024641842634006,False
case_009,5,l2_scatter_0,l2_scatter,48436,715656,0.38599985464802233,False
case_009,5,l2_scatter_1,l2_scatter,47325,707456,0.3810174431844059,False
case_009,5,fifo_reuse_reorder,reuse_window_reorder,47623,740232,0.3994576109950767,False
case_009,5,adaptive_partition_l2,adaptive_partition,38468,802510,0.4528327957790779,False
case_010,1,baseline_a_problem2_plan,problem2_plan,86969,0,0.0,True
case_010,2,baseline_a_problem2_plan,problem2_plan,43413,259252,0.38946087959769754,True
case_010,2,direct_affinity,direct_affinity,44673,92728,0.1767498994006396,False
case_010,2,l2_scatter_0,l2_scatter,46125,247732,0.39007568746275845,False
case_010,2,l2_scatter_1,l2_scatter,44216,198584,0.3385521752430972,False
case_010,3,baseline_a_problem2_plan,problem2_plan,29785,263364,0.3905511567487319,True
case_010,3,direct_affinity,direct_affinity,30695,312524,0.4468464894882983,False
case_010,3,private_cache_affinity,private_cache_affinity,30574,274892,0.4040449479463122,False
case_010,3,l2_scatter_0,l2_scatter,31806,263364,0.40480329085735495,False
case_010,3,l2_scatter_1,l2_scatter,36382,246976,0.3893319201464806,False
case_010,3,fifo_reuse_reorder,reuse_window_reorder,32466,263364,0.40480329085735495,False
case_010,3,adaptive_partition_l2,adaptive_partition,30489,367432,0.4284066916151635,False
case_010,4,baseline_a_problem2_plan,problem2_plan,23574,362832,0.41128292874599753,True
case_010,4,private_cache_affinity,private_cache_affinity,23639,313680,0.36282971397116676,False
case_010,4,l2_scatter_0,l2_scatter,25928,362832,0.41128292874599753,False
case_010,4,l2_scatter_1,l2_scatter,24847,318548,0.3700310320822173,False
case_010,4,fifo_reuse_reorder,reuse_window_reorder,23574,362832,0.41128292874599753,False
case_010,5,baseline_a_problem2_plan,problem2_plan,20864,330976,0.3883357625274567,True
case_010,5,private_cache_affinity,private_cache_affinity,20799,348260,0.3938988095238095,True
case_010,5,l2_scatter_0,l2_scatter,21120,342496,0.38778389708721517,False
case_010,5,l2_scatter_1,l2_scatter,21497,375264,0.4028118426631858,False
case_010,5,adaptive_partition_l2,adaptive_partition,20915,481124,0.46405648575827557,False
case_011,1,baseline_a_problem2_plan,problem2_plan,184697,0,0.0,True
case_011,2,baseline_a_problem2_plan,problem2_plan,92646,180224,0.0,True
case_011,2,adaptive_partition_l2,adaptive_partition,92646,180224,0.0,False
case_011,3,baseline_a_problem2_plan,problem2_plan,62358,888832,0.5253731343283582,True
case_011,3,direct_affinity,direct_affinity,62358,1171456,0.571604938271605,False
case_011,3,l2_scatter_0,l2_scatter,68825,907264,0.4801178203240059,False
case_011,3,l2_scatter_1,l2_scatter,67582,917504,0.4970845481049563,False
case_011,3,fifo_reuse_reorder,reuse_window_reorder,63824,888832,0.5223880597014925,False
case_011,3,adaptive_partition_l2,adaptive_partition,66249,1437696,0.36470588235294116,False
case_011,4,baseline_a_problem2_plan,problem2_plan,46880,540672,0.0,True
case_011,4,direct_affinity,direct_affinity,48245,677888,0.1847246891651865,False
case_011,4,private_cache_affinity,private_cache_affinity,48245,677888,0.1882770870337478,False
case_011,4,l2_scatter_0,l2_scatter,53485,636928,0.35901926444833626,False
case_011,4,adaptive_partition_l2,adaptive_partition,46880,966656,0.057692307692307696,False
case_011,5,baseline_a_problem2_plan,problem2_plan,38752,1071104,0.4885290148448043,True
case_011,5,direct_affinity,direct_affinity,38393,1943552,0.6016114592658908,True
case_011,5,l2_scatter_0,l2_scatter,38856,1083392,0.4697986577181208,False
case_011,5,l2_scatter_1,l2_scatter,41937,1097728,0.464,False
case_011,5,fifo_reuse_reorder,reuse_window_reorder,38752,1071104,0.48043184885290147,False
case_011,5,adaptive_partition_l2,adaptive_partition,40242,2013184,0.482886216466235,False
case_012,1,baseline_a_problem2_plan,problem2_plan,59088,0,0.0,True
case_012,2,baseline_a_problem2_plan,problem2_plan,25755,60120,0.08885254432591161,True
case_012,2,direct_affinity,direct_affinity,28356,23232,0.021836291661345934,False
case_012,2,l2_scatter_0,l2_scatter,25387,60120,0.08885254432591161,True
case_012,2,l2_scatter_1,l2_scatter,25382,66272,0.09913856466645106,True
case_012,2,adaptive_partition_l2,adaptive_partition,27331,64232,0.08851431914625747,False
case_012,3,baseline_a_problem2_plan,problem2_plan,17981,124336,0.15460184046592707,True
case_012,3,direct_affinity,direct_affinity,18315,105920,0.1472856985152067,False
case_012,3,private_cache_affinity,private_cache_affinity,18005,101824,0.14121824448273945,False
case_012,3,l2_scatter_0,l2_scatter,19518,136624,0.15197322104592006,False
case_012,3,l2_scatter_1,l2_scatter,19888,136624,0.15197322104592006,False
case_012,3,fifo_reuse_reorder,reuse_window_reorder,18519,124336,0.15460184046592707,False
case_012,3,adaptive_partition_l2,adaptive_partition,18005,105920,0.1472856985152067,False
case_012,4,baseline_a_problem2_plan,problem2_plan,14680,117738,0.11751819562482216,True
case_012,4,direct_affinity,direct_affinity,14496,117412,0.11826719407052004,True
case_012,4,private_cache_affinity,private_cache_affinity,15769,109220,0.11911287703947851,False
case_012,4,l2_scatter_0,l2_scatter,17684,109542,0.132957750382859,False
case_012,4,l2_scatter_1,l2_scatter,19354,127402,0.14621030866432713,False
case_012,4,fifo_reuse_reorder,reuse_window_reorder,17035,117738,0.13858158119379754,False
case_012,4,adaptive_partition_l2,adaptive_partition,14557,181296,0.23078955453149003,False
case_012,5,baseline_a_problem2_plan,problem2_plan,12365,118056,0.1008094186902134,True
case_012,5,direct_affinity,direct_affinity,13502,101728,0.08540720791855842,False
case_012,5,l2_scatter_0,l2_scatter,15422,116004,0.0967456979099451,False
case_012,5,l2_scatter_1,l2_scatter,16521,115428,0.1194972246496703,False
case_012,5,fifo_reuse_reorder,reuse_window_reorder,14119,118056,0.10345017295565045,False
case_012,5,adaptive_partition_l2,adaptive_partition,13245,200760,0.24410082177308498,False
case_013,1,baseline_a_problem2_plan,problem2_plan,263949,0,0.0,True
case_013,2,baseline_a_problem2_plan,problem2_plan,132198,8192,0.0,True
case_013,2,adaptive_partition_l2,adaptive_partition,132198,8192,0.0,False
case_013,3,baseline_a_problem2_plan,problem2_plan,88351,16384,0.0,True
case_013,3,adaptive_partition_l2,adaptive_partition,88351,16384,0.0,False
case_013,4,baseline_a_problem2_plan,problem2_plan,66982,24576,0.0,True
case_013,4,adaptive_partition_l2,adaptive_partition,66982,24576,0.0,False
case_013,5,baseline_a_problem2_plan,problem2_plan,54363,32768,0.0,True
case_013,5,adaptive_partition_l2,adaptive_partition,54363,32768,0.0,False
case_014,1,baseline_a_problem2_plan,problem2_plan,17689602,71010720,0.12291025483195864,True
case_014,2,baseline_a_problem2_plan,problem2_plan,8888616,71757240,0.22808041447366487,True
case_014,3,baseline_a_problem2_plan,problem2_plan,5978462,77714952,0.2817073611626936,True
case_014,4,baseline_a_problem2_plan,problem2_plan,4503996,82627992,0.15317161287898828,True
case_014,5,baseline_a_problem2_plan,problem2_plan,3649717,88238376,0.2908823978184578,True
case_015,1,baseline_a_problem2_plan,problem2_plan,177362,180256,0.1692685978123867,True
case_015,2,baseline_a_problem2_plan,problem2_plan,85627,858484,0.3065397905372544,True
case_015,2,direct_affinity,direct_affinity,86142,543120,0.2835318317241177,False
case_015,2,private_cache_affinity,private_cache_affinity,86287,558480,0.33590305108741786,False
case_015,2,l2_scatter_0,l2_scatter,92536,842100,0.33348396073475534,False
case_015,2,l2_scatter_1,l2_scatter,88207,825720,0.3130699364804858,False
case_015,2,fifo_reuse_reorder,reuse_window_reorder,86607,858484,0.3273994892022031,False
case_015,2,adaptive_partition_l2,adaptive_partition,85554,504212,0.29411521014147524,True
case_015,3,baseline_a_problem2_plan,problem2_plan,58187,872116,0.34052482741611456,True
case_015,3,direct_affinity,direct_affinity,58784,945876,0.40597258627846233,False
case_015,3,private_cache_affinity,private_cache_affinity,57880,793288,0.33618300001392964,True
case_015,3,l2_scatter_0,l2_scatter,60191,896692,0.3769833252118518,False
case_015,3,l2_scatter_1,l2_scatter,62467,852652,0.3922952432175754,False
case_015,3,fifo_reuse_reorder,reuse_window_reorder,57867,872116,0.3797563831493955,True
case_015,3,adaptive_partition_l2,adaptive_partition,57730,966312,0.3835991287438612,True
case_015,4,baseline_a_problem2_plan,problem2_plan,45003,987108,0.4122602277961094,True
case_015,4,direct_affinity,direct_affinity,48041,1174492,0.3676984305212466,False
case_015,4,private_cache_affinity,private_cache_affinity,48345,1084344,0.3366260063722822,False
case_015,4,l2_scatter_0,l2_scatter,45561,1042404,0.42535499664199755,False
case_015,4,l2_scatter_1,l2_scatter,46883,1050592,0.43655398850013977,False
