case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_019,3,scored,27240,74824,2.978854626,0,11,8.161,results_problem2/case_019_3cores/best_plan.json,
case_019,4,scored,20966,224616,3.870266145,0,11,8.224,results_problem2/case_019_4cores/best_plan.json,
case_019,5,scored,15947,207492,5.088355177,0,10,7.586,results_problem2/case_019_5cores/best_plan.json,
case_020,1,singlecore_reference,532746,0,1.000000000,,0,0,,
case_020,2,scored,266580,0,1.998446995,0,5,24.756,results_problem2/case_020_2cores/best_plan.json,
case_020,3,scored,177950,0,2.993796010,0,6,26.207,results_problem2/case_020_3cores/best_plan.json,
case_020,4,scored,133704,0,3.984518040,0,6,25.336,results_problem2/case_020_4cores/best_plan.json,
case_020,5,scored,107650,0,4.948871342,0,6,25.970,results_problem2/case_020_5cores/best_plan.json,
case_021,1,singlecore_reference,6567937,0,1.000000000,,0,0,,
case_021,2,scored,3193640,4091904,2.056567741,2555904,8,34.696,results_problem2/case_021_2cores/best_plan.json,
case_021,3,scored,2119546,8863744,3.098747090,2088960,8,40.082,results_problem2/case_021_3cores/best_plan.json,
case_021,4,scored,1552593,5591040,4.230301824,0,8,40.224,results_problem2/case_021_4cores/best_plan.json,
case_021,5,scored,1249670,11030528,5.255737115,1609728,12,65.727,results_problem2/case_021_5cores/best_plan.json,
case_022,1,singlecore_reference,56780,0,1.000000000,,0,0,,
case_022,2,scored,28318,37648,2.005085105,0,11,14.424,results_problem2/case_022_2cores/best_plan.json,
case_022,3,scored,18899,23064,3.004391767,0,11,15.102,results_problem2/case_022_3cores/best_plan.json,
case_022,4,scored,14372,49968,3.950737545,0,9,13.949,results_problem2/case_022_4cores/best_plan.json,
case_022,5,scored,11525,20736,4.926681128,0,11,14.834,results_problem2/case_022_5cores/best_plan.json,
case_023,1,singlecore_reference,122614,0,1.000000000,,0,0,,
case_023,2,scored,59738,131360,2.052529378,0,12,11.976,results_problem2/case_023_2cores/best_plan.json,
case_023,3,scored,40728,228948,3.010557847,0,11,12.170,results_problem2/case_023_3cores/best_plan.json,
case_023,4,scored,32086,331480,3.821417441,0,10,11.844,results_problem2/case_023_4cores/best_plan.json,
case_023,5,scored,25352,355680,4.836462607,0,12,13.163,results_problem2/case_023_5cores/best_plan.json,
case_024,1,singlecore_reference,2555343,0,1.000000000,,0,0,,
case_024,2,scored,1546201,396024,1.652659001,0,12,81.519,results_problem2/case_024_2cores/best_plan.json,
case_024,3,scored,1280881,396456,1.994988605,0,9,74.649,results_problem2/case_024_3cores/best_plan.json,
case_024,4,scored,1120991,495932,2.279539265,0,12,84.884,results_problem2/case_024_4cores/best_plan.json,
case_024,5,scored,865249,332512,2.953303615,0,6,50.879,results_problem2/case_024_5cores/best_plan.json,
case_025,1,singlecore_reference,4863026,0,1.000000000,,0,0,,
case_025,2,scored,2431840,27648,1.999731068,0,5,189.329,results_problem2/case_025_2cores/best_plan.json,
case_025,3,scored,1622164,55296,2.997863348,0,6,179.038,results_problem2/case_025_3cores/best_plan.json,
case_025,4,scored,1217444,82944,3.994455597,0,6,161.212,results_problem2/case_025_4cores/best_plan.json,
case_025,5,scored,975282,110592,4.986276790,0,6,149.339,results_problem2/case_025_5cores/best_plan.json,
case_026,1,singlecore_reference,99203,0,1.000000000,,0,0,,
case_026,2,scored,49119,169436,2.019646165,0,11,7.151,results_problem2/case_026_2cores/best_plan.json,
case_026,3,scored,36255,484280,2.736257068,0,11,8.405,results_problem2/case_026_3cores/best_plan.json,
case_026,4,scored,25758,471672,3.851347154,0,11,8.677,results_problem2/case_026_4cores/best_plan.json,
case_026,5,scored,23572,517176,4.208510097,0,11,8.315,results_problem2/case_026_5cores/best_plan.json,
case_027,1,singlecore_reference,2363952,0,1.000000000,,0,0,,
case_027,2,scored,1115722,1105920,2.118764352,0,9,13.214,results_problem2/case_027_2cores/best_plan.json,
case_027,3,scored,747470,8501248,3.162604519,0,10,19.143,results_problem2/case_027_3cores/best_plan.json,
case_027,4,scored,559196,3317760,4.227412213,0,9,13.931,results_problem2/case_027_4cores/best_plan.json,
case_027,5,scored,453694,11204608,5.210454624,0,10,21.060,results_problem2/case_027_5cores/best_plan.json,
case_028,1,singlecore_reference,43836040,0,1.000000000,,0,0,,
case_028,2,scored,21743789,203536512,2.016025818,193162752,8,205.988,results_problem2/case_028_2cores/best_plan.json,
case_028,3,scored,15058530,257422848,2.911043774,243123456,7,169.016,results_problem2/case_028_3cores/best_plan.json,
case_028,4,scored,11276435,173640576,3.887402357,153348096,11,225.615,results_problem2/case_028_4cores/best_plan.json,
case_028,5,scored,9282652,176191488,4.722361670,152573952,11,228.012,results_problem2/case_028_5cores/best_plan.json,
case_029,1,singlecore_reference,37555,0,1.000000000,,0,0,,
case_029,2,scored,19740,0,1.902482270,0,5,4.890,results_problem2/case_029_2cores/best_plan.json,
case_029,3,scored,12743,0,2.947108216,0,5,5.185,results_problem2/case_029_3cores/best_plan.json,
case_029,4,scored,10206,92280,3.679698217,0,8,7.964,results_problem2/case_029_4cores/best_plan.json,
case_029,5,scored,9383,0,4.002451242,0,8,6.344,results_problem2/case_029_5cores/best_plan.json,
case_030,1,singlecore_reference,2808034,0,1.000000000,,0,0,,
case_030,2,scored,1399149,6877184,2.006958515,4926464,10,109.848,results_problem2/case_030_2cores/best_plan.json,
case_030,3,scored,933256,8949248,3.008857162,5047808,8,83.225,results_problem2/case_030_3cores/best_plan.json,
case_030,4,scored,698838,7811072,4.018147267,3047424,8,79.065,results_problem2/case_030_4cores/best_plan.json,
case_030,5,scored,560819,10660864,5.007023656,3736576,8,85.516,results_problem2/case_030_5cores/best_plan.json,
case_031,1,singlecore_reference,1414369,0,1.000000000,,0,0,,
case_031,2,scored,704903,6042982,2.006473231,9728,10,65.831,results_problem2/case_031_2cores/best_plan.json,
case_031,3,scored,469081,9956524,3.015191406,0,11,77.397,results_problem2/case_031_3cores/best_plan.json,
case_031,4,scored,351513,13432720,4.023660576,0,11,85.635,results_problem2/case_031_4cores/best_plan.json,
case_031,5,scored,289662,7924224,4.882825500,1649664,11,74.894,results_problem2/case_031_5cores/best_plan.json,
case_032,1,singlecore_reference,41443,0,1.000000000,,0,0,,
case_032,2,scored,17551,71832,2.361289955,0,10,8.362,results_problem2/case_032_2cores/best_plan.json,
